[Wed Sep 09 16:49:11.008722 2015] [:error] [pid 18453] [client 127.0.0.1:59930] PHP Notice:  Undefined variable: factId in /home/mladen/Desktop/practice/100-facts-croatia.lo/edit.php on line 21, referer: http://100-facts-croatia.lo/data.php
[Wed Sep 09 16:49:11.008860 2015] [:error] [pid 18453] [client 127.0.0.1:59930] PHP Fatal error:  Call to a member function fetch_assoc() on a non-object in /home/mladen/Desktop/practice/100-facts-croatia.lo/edit.php on line 23, referer: http://100-facts-croatia.lo/data.php
[Wed Sep 09 17:00:58.066258 2015] [:error] [pid 1252] [client 127.0.0.1:59981] PHP Notice:  Undefined variable: conn in /home/mladen/Desktop/practice/100-facts-croatia.lo/edit.php on line 5, referer: http://100-facts-croatia.lo/data.php
[Wed Sep 09 17:00:58.066311 2015] [:error] [pid 1252] [client 127.0.0.1:59981] PHP Fatal error:  Call to a member function query() on a non-object in /home/mladen/Desktop/practice/100-facts-croatia.lo/edit.php on line 5, referer: http://100-facts-croatia.lo/data.php
[Wed Sep 09 17:01:40.884262 2015] [:error] [pid 26027] [client 127.0.0.1:59982] PHP Notice:  Undefined variable: conn in /home/mladen/Desktop/practice/100-facts-croatia.lo/edit.php on line 4, referer: http://100-facts-croatia.lo/data.php
[Wed Sep 09 17:01:40.884308 2015] [:error] [pid 26027] [client 127.0.0.1:59982] PHP Fatal error:  Call to a member function query() on a non-object in /home/mladen/Desktop/practice/100-facts-croatia.lo/edit.php on line 4, referer: http://100-facts-croatia.lo/data.php
[Wed Sep 09 17:50:37.585224 2015] [:error] [pid 18456] [client 127.0.0.1:60629] PHP Notice:  Undefined index: file in /home/mladen/Desktop/practice/100-facts-croatia.lo/submit.php on line 20, referer: http://100-facts-croatia.lo/edit.php?fact=1
[Wed Sep 09 17:50:37.585299 2015] [:error] [pid 18456] [client 127.0.0.1:60629] PHP Notice:  Undefined index: file in /home/mladen/Desktop/practice/100-facts-croatia.lo/submit.php on line 21, referer: http://100-facts-croatia.lo/edit.php?fact=1
[Wed Sep 09 17:50:37.585324 2015] [:error] [pid 18456] [client 127.0.0.1:60629] PHP Notice:  Undefined index: file in /home/mladen/Desktop/practice/100-facts-croatia.lo/submit.php on line 22, referer: http://100-facts-croatia.lo/edit.php?fact=1
[Wed Sep 09 17:50:37.585345 2015] [:error] [pid 18456] [client 127.0.0.1:60629] PHP Notice:  Undefined index: file in /home/mladen/Desktop/practice/100-facts-croatia.lo/submit.php on line 23, referer: http://100-facts-croatia.lo/edit.php?fact=1
[Wed Sep 09 17:52:15.290215 2015] [:error] [pid 21575] [client 127.0.0.1:60633] PHP Fatal error:  Call to a member function fetch_assoc() on a non-object in /home/mladen/Desktop/practice/100-facts-croatia.lo/edit.php on line 23, referer: http://100-facts-croatia.lo/edit.php?fact=1
[Wed Sep 09 17:55:37.853202 2015] [:error] [pid 18456] [client 127.0.0.1:60643] PHP Fatal error:  Call to a member function fetch_assoc() on a non-object in /home/mladen/Desktop/practice/100-facts-croatia.lo/edit.php on line 23
[Wed Sep 09 17:55:48.593322 2015] [:error] [pid 21575] [client 127.0.0.1:60645] PHP Fatal error:  Call to a member function fetch_assoc() on a non-object in /home/mladen/Desktop/practice/100-facts-croatia.lo/edit.php on line 23, referer: http://100-facts-croatia.lo/edit.php?fact=1
[Wed Sep 09 17:58:06.616618 2015] [:error] [pid 21659] [client 127.0.0.1:60648] PHP Fatal error:  Call to a member function fetch_assoc() on a non-object in /home/mladen/Desktop/practice/100-facts-croatia.lo/edit.php on line 23, referer: http://100-facts-croatia.lo/edit.php?fact=4
[Wed Sep 09 18:02:00.558737 2015] [:error] [pid 1252] [client 127.0.0.1:60665] PHP Fatal error:  Call to a member function fetch_assoc() on a non-object in /home/mladen/Desktop/practice/100-facts-croatia.lo/edit.php on line 23, referer: http://100-facts-croatia.lo/edit.php?fact=1
[Thu Sep 10 09:19:35.743616 2015] [:error] [pid 1326] [client 127.0.0.1:49456] PHP Fatal error:  Call to a member function fetch_assoc() on a non-object in /home/mladen/Desktop/practice/100-facts-croatia.lo/edit.php on line 6
[Fri Sep 11 13:14:45.429762 2015] [:error] [pid 1295] [client 127.0.0.1:32793] PHP Fatal error:  Call to a member function fetch_assoc() on a non-object in /home/mladen/Desktop/practice/100-facts-croatia.lo/edit.php on line 6
[Fri Sep 11 13:27:59.215939 2015] [:error] [pid 1298] [client 127.0.0.1:33019] PHP Fatal error:  Call to a member function fetch_assoc() on a non-object in /home/mladen/Desktop/practice/100-facts-croatia.lo/edit.php on line 6
